timestamp_ms,date_utc,open,high,low,close,volume_base,volume_quote
1609459200000,2021-01-01,6.468,6.508,6.173,6.189,922910.307,5852482.668266
1609473600000,2021-01-01,6.191,6.22,5.862,6.031,868864.128,5250948.6712915
1609488000000,2021-01-01,6.027,6.086,5.78,6.007,769954.87,4593192.6623233
1609502400000,2021-01-01,6.01,6.097,5.875,5.922,691714.5142,4152172.6643009
1609516800000,2021-01-01,5.919,5.959,5.624,5.804,1051015.385,6065984.6469668
1609531200000,2021-01-01,5.8,5.917,5.762,5.862,653861.0443,3816218.0504692
1609545600000,2021-01-02,5.866,5.882,5.566,5.739,694926.4338,3957475.3208617
1609560000000,2021-01-02,5.74,5.742,5.578,5.601,537920.1361,3046671.0093745
1609574400000,2021-01-02,5.599,5.615,5.395,5.468,648206.9713,3567948.8654661
1609588800000,2021-01-02,5.464,5.633,5.29,5.608,1503656.353,8240550.0819558
1609603200000,2021-01-02,5.611,5.693,5.432,5.641,965690.6738,5373404.2898468
1609617600000,2021-01-02,5.643,5.658,5.21,5.414,613208.1539,3332949.6535186
1609632000000,2021-01-03,5.42,5.564,5.281,5.439,453762.3626,2454240.0237452
1609646400000,2021-01-03,5.434,5.46,5.33,5.342,312596.1731,1690218.2415004
1609660800000,2021-01-03,5.342,5.73,5.309,5.625,581668.2361,3189343.395548
1609675200000,2021-01-03,5.626,5.825,5.494,5.597,846042.7463,4767365.1962814
1609689600000,2021-01-03,5.596,5.775,5.54,5.607,600582.1524,3398202.0329472
1609704000000,2021-01-03,5.609,5.91,5.606,5.832,604439.4891,3489173.5408
1609718400000,2021-01-04,5.826,6.177,5.825,6.101,758328.5675,4561502.8514963
1609732800000,2021-01-04,6.095,6.273,5.63,5.739,834183.7114,4981021.3331418
1609747200000,2021-01-04,5.741,6.01,5.269,5.69,1324152.7201,7585873.1074852
1609761600000,2021-01-04,5.692,5.943,5.622,5.881,596102.5838,3442005.3150499
1609776000000,2021-01-04,5.882,5.927,5.665,5.826,325355.7594,1871015.5736692
1609790400000,2021-01-04,5.824,6.052,5.743,6.04,319812.9026,1877116.0485151
1609804800000,2021-01-05,6.05,6.13,5.772,5.773,662712.2262,3957620.9005627
1609819200000,2021-01-05,5.782,5.858,5.64,5.785,495600.2516,2854704.6606453
1609833600000,2021-01-05,5.793,6.17,5.793,6.124,486774.1102,2936662.5358678
1609848000000,2021-01-05,6.128,6.167,5.835,6.065,620818.0419,3739105.7433839
1609862400000,2021-01-05,6.069,6.379,6.005,6.133,807684.3826,5021111.380467
1609876800000,2021-01-05,6.134,6.331,6.11,6.199,335204.8325,2082845.598476
1609891200000,2021-01-06,6.204,6.275,5.869,5.917,661662.6192,3968982.0256516
1609905600000,2021-01-06,5.919,6.218,5.915,6.097,525010.3496,3178878.2149896
1609920000000,2021-01-06,6.108,6.372,6.019,6.333,533783.2686,3312927.4016556
1609934400000,2021-01-06,6.341,6.804,6.221,6.532,1200588.2597,7867939.1579136
1609948800000,2021-01-06,6.535,6.948,6.5,6.566,761685.4092,5117184.8929433
1609963200000,2021-01-06,6.582,6.81,6.369,6.676,674252.4709,4450331.4757963
1609977600000,2021-01-07,6.688,6.843,6.555,6.619,466824.54,3116477.8136191
1609992000000,2021-01-07,6.614,6.771,6.465,6.494,489106.5633,3227395.0856401
1610006400000,2021-01-07,6.502,6.68,6.265,6.619,599028.4166,3905431.0820886
1610020800000,2021-01-07,6.612,6.82,6.507,6.624,639556.7346,4266780.3863505
1610035200000,2021-01-07,6.628,6.717,5.99,6.335,705771.3469,4557676.7859536
1610049600000,2021-01-07,6.34,6.378,6.13,6.26,716348.8659,4499123.2371065
1610064000000,2021-01-08,6.269,6.344,5.8,6.005,821764.3416,4957897.5664022
1610078400000,2021-01-08,6.006,6.199,5.881,6.197,420025.9296,2535711.1237532
1610092800000,2021-01-08,6.192,6.26,6.026,6.169,461628.1625,2848109.3295812
1610107200000,2021-01-08,6.172,6.224,5.905,6.02,569233.7827,3470103.530989
1610121600000,2021-01-08,6.022,6.055,5.812,5.812,737334.2726,4363716.3332622
1610136000000,2021-01-08,5.821,5.969,5.673,5.93,639220.0951,3689260.6775358
1610150400000,2021-01-09,5.931,6.62,5.815,6.531,1214131.1786,7586574.9100805
1610164800000,2021-01-09,6.529,6.535,6.17,6.338,616803.2389,3907177.4781195
1610179200000,2021-01-09,6.347,6.528,6.279,6.456,480409.7097,3087838.0008666
1610193600000,2021-01-09,6.457,6.743,6.3,6.432,802540.9532,5235334.0773758
1610208000000,2021-01-09,6.434,6.535,6.306,6.535,344543.7908,2215153.1310899
1610222400000,2021-01-09,6.536,6.7,6.469,6.541,575099.2188,3788641.1555703
1610236800000,2021-01-10,6.554,6.739,6.515,6.584,501723.3706,3329652.0514852
1610251200000,2021-01-10,6.582,7.145,6.57,6.875,810550.4549,5586402.9926377
1610265600000,2021-01-10,6.875,7.113,6.264,6.38,1266565.53,8505176.5826451
1610280000000,2021-01-10,6.382,6.842,6.288,6.607,977303.5089,6430845.1829641
1610294400000,2021-01-10,6.6,6.636,6.228,6.331,680243.8365,4383116.3233116
1610308800000,2021-01-10,6.331,6.512,5.989,6.41,798882.19,4983730.9190919
1610323200000,2021-01-11,6.409,6.43,5.351,5.751,1047945.3647,6264107.4599307
1610337600000,2021-01-11,5.714,5.919,5.39,5.609,1008586.7461,5736973.1477719
1610352000000,2021-01-11,5.608,5.871,5.525,5.639,543549.6753,3101088.5652996
1610366400000,2021-01-11,5.641,5.708,5.088,5.23,1154070.309,6224123.5705579
1610380800000,2021-01-11,5.232,5.533,5.005,5.408,945129.029,4975922.9014285
1610395200000,2021-01-11,5.41,5.732,5.34,5.713,435784.665,2426518.2965352
1610409600000,2021-01-12,5.717,6.116,5.531,6.086,738849.5371,4292796.4447678
1610424000000,2021-01-12,6.091,6.134,5.899,5.998,607840.1957,3655254.6903096
1610438400000,2021-01-12,5.997,6.014,5.622,5.842,470286.8869,2726214.0671512
1610452800000,2021-01-12,5.843,5.944,5.509,5.653,564251.1626,3196471.2132247
1610467200000,2021-01-12,5.655,5.906,5.655,5.74,372757.0172,2156891.2035396
1610481600000,2021-01-12,5.735,5.831,5.62,5.709,276915.2259,1581650.3272794
1610496000000,2021-01-13,5.712,5.812,5.546,5.795,361208.829,2046843.4774653
1610510400000,2021-01-13,5.791,5.918,5.726,5.879,263187.0636,1533762.3250751
1610524800000,2021-01-13,5.882,6.046,5.849,5.98,326377.3851,1939071.309341
1610539200000,2021-01-13,5.982,6.018,5.853,5.952,296352.9424,1760022.0366814
1610553600000,2021-01-13,5.962,6.228,5.951,6.088,474018.8831,2899378.3140287
1610568000000,2021-01-13,6.088,6.253,6.019,6.238,388322.7766,2383980.3558619
1610582400000,2021-01-14,6.245,6.457,6.188,6.337,563961.9541,3558445.1543524
1610596800000,2021-01-14,6.33,6.496,6.315,6.413,390564.7607,2509708.7825136
1610611200000,2021-01-14,6.411,6.584,6.34,6.513,540994.3268,3497698.0987098
1610625600000,2021-01-14,6.511,6.517,6.285,6.322,998807.0072,6367324.2489414
1610640000000,2021-01-14,6.325,6.462,6.311,6.421,359827.2377,2300467.830582
1610654400000,2021-01-14,6.422,6.491,6.15,6.479,510272.4479,3212147.2397701
1610668800000,2021-01-15,6.478,8.299,6.448,7.536,4262252.9287,32339286.6731442
1610683200000,2021-01-15,7.533,8.036,7.34,7.797,2030800.0091,15556668.5304175
1610697600000,2021-01-15,7.8,8.484,7.678,8.041,2095115.0869,16942040.4625841
1610712000000,2021-01-15,8.064,8.183,7.129,7.209,2140100.0283,16388780.8521144
1610726400000,2021-01-15,7.213,7.797,6.803,7.54,1552854.1436,11491441.1428433
1610740800000,2021-01-15,7.544,8.289,7.405,7.888,1209110.4469,9576971.0119124
1610755200000,2021-01-16,7.893,8.433,7.623,7.941,1548006.104,12436168.9711516
1610769600000,2021-01-16,7.943,8.211,7.535,8.087,873387.8014,6911618.8370023
1610784000000,2021-01-16,8.085,8.972,7.91,8.682,2071577.5962,17574760.160917
1610798400000,2021-01-16,8.687,9.601,8.204,9.165,2606362.0674,23093875.2606889
1610812800000,2021-01-16,9.16,9.332,8.579,8.916,1558823.2118,13920973.8308388
1610827200000,2021-01-16,8.916,9.265,8.372,9.036,1397827.0639,12398050.4263977
1610841600000,2021-01-17,9.031,9.201,8.578,8.729,997536.1519,8819941.8473456
1610856000000,2021-01-17,8.722,8.922,8.02,8.198,1083658.2417,9115695.0325207
1610870400000,2021-01-17,8.204,8.74,8.02,8.619,1354669.9941,11258648.2396141
1610884800000,2021-01-17,8.629,8.648,8.175,8.551,757029.9217,6360204.9393942
1610899200000,2021-01-17,8.567,8.828,8.311,8.762,653169.6196,5571269.9966265
1610913600000,2021-01-17,8.759,8.839,8.5,8.546,556449.3417,4838574.7134249
1610928000000,2021-01-18,8.551,9.326,8.534,8.664,1126890.1908,10108327.4871725
1610942400000,2021-01-18,8.661,9.55,8.628,9.3,1424872.1519,13038512.1286621
1610956800000,2021-01-18,9.295,9.315,8.871,9.093,688631.3653,6279788.7829208
1610971200000,2021-01-18,9.095,9.131,8.6,8.971,598993.9595,5317058.6929982
1610985600000,2021-01-18,8.982,9.626,8.782,9.615,1135890.2711,10415444.969654
1611000000000,2021-01-18,9.627,9.844,9.374,9.541,856797.7333,8233290.939146
1611014400000,2021-01-19,9.543,10.197,9.448,9.525,1231440.8148,12058237.1179034
1611028800000,2021-01-19,9.527,9.6,9.215,9.353,544711.971,5107672.3956291
1611043200000,2021-01-19,9.356,9.619,9.242,9.287,536501.5956,5065497.015088
1611057600000,2021-01-19,9.287,9.449,9.038,9.236,573842.1662,5300496.0955998
1611072000000,2021-01-19,9.247,9.264,8.844,8.976,528959.2432,4797390.0121998
1611086400000,2021-01-19,8.979,9.379,8.883,8.9,449991.4846,4141526.711779
1611100800000,2021-01-20,8.897,9.49,8.714,8.966,789985.8423,7282598.4547823
1611115200000,2021-01-20,8.969,9.21,8.798,9.077,585848.1791,5282463.1566516
1611129600000,2021-01-20,9.078,9.108,8.018,8.159,1007623.1384,8538465.7405274
1611144000000,2021-01-20,8.149,8.469,8.014,8.132,878022.3972,7262619.0430567
1611158400000,2021-01-20,8.121,8.754,7.96,8.754,645273.7088,5426847.1328427
1611172800000,2021-01-20,8.754,8.914,8.554,8.902,496703.6127,4337816.2461251
1611187200000,2021-01-21,8.906,8.964,8.349,8.48,431770.2511,3725577.5520163
1611201600000,2021-01-21,8.475,8.608,8.265,8.435,385123.2095,3249774.0110714
1611216000000,2021-01-21,8.436,8.442,7.813,7.994,912485.4787,7363101.4488236
1611230400000,2021-01-21,7.999,8.271,7.749,7.932,773526.902,6198992.8306436
1611244800000,2021-01-21,7.932,8.173,7.658,7.99,690782.6199,5443285.767612
1611259200000,2021-01-21,7.99,8.003,7.077,7.154,832217.4895,6179365.3289825
1611273600000,2021-01-22,7.173,7.467,6.589,7.467,1248518.7117,8758828.3029744
1611288000000,2021-01-22,7.465,7.653,7.286,7.374,530844.6389,3980164.6211698
1611302400000,2021-01-22,7.365,7.768,7.234,7.705,668945.9826,5020931.6404942
1611316800000,2021-01-22,7.708,8.396,7.708,8.232,791255.4082,6433121.2046553
1611331200000,2021-01-22,8.247,8.452,8.102,8.366,477968.7026,3966495.0022889
1611345600000,2021-01-22,8.365,8.389,7.96,7.985,400651.1037,3279707.1029988
1611360000000,2021-01-23,7.988,8.346,7.851,8.316,416493.9641,3398669.8081917
1611374400000,2021-01-23,8.295,8.672,8.249,8.588,504263.0609,4275736.6262158
1611388800000,2021-01-23,8.577,8.616,8.011,8.094,586208.175,4864469.7043336
1611403200000,2021-01-23,8.086,8.343,8.0,8.233,554036.8968,4533075.9680178
1611417600000,2021-01-23,8.244,8.616,8.158,8.553,474934.4173,4022391.1917593
1611432000000,2021-01-23,8.55,8.574,8.224,8.328,350452.2479,2941536.7976976
1611446400000,2021-01-24,8.339,8.65,8.225,8.544,429513.5028,3637906.6024088
1611460800000,2021-01-24,8.545,8.783,8.4,8.494,377057.0458,3254548.6516292
1611475200000,2021-01-24,8.498,8.657,8.346,8.594,353810.9441,3011767.3557987
1611489600000,2021-01-24,8.595,8.63,8.275,8.35,378495.0201,3175046.6319557
1611504000000,2021-01-24,8.357,8.402,7.879,7.966,969829.5201,7861799.4018926
1611518400000,2021-01-24,7.968,8.25,7.949,8.24,346576.895,2812265.145322
1611532800000,2021-01-25,8.245,8.549,8.198,8.517,477537.9791,3977723.4391635
1611547200000,2021-01-25,8.525,8.534,8.222,8.278,334351.8932,2795132.4372382
1611561600000,2021-01-25,8.285,8.339,8.075,8.275,388992.7579,3199177.7392735
1611576000000,2021-01-25,8.274,8.422,8.15,8.292,491716.6214,4068585.1605467
1611590400000,2021-01-25,8.291,8.313,8.012,8.061,389691.6424,3171549.6351734
1611604800000,2021-01-25,8.062,8.066,7.666,7.741,586636.3018,4600159.2294721
1611619200000,2021-01-26,7.739,7.955,7.552,7.582,501757.9202,3914064.3334976
1611633600000,2021-01-26,7.585,7.846,7.569,7.833,317287.8845,2434013.0549226
1611648000000,2021-01-26,7.829,7.858,7.562,7.674,238170.3204,1833973.4775209
1611662400000,2021-01-26,7.659,7.697,7.356,7.527,403265.8799,3032794.0120572
1611676800000,2021-01-26,7.525,7.885,7.433,7.817,454436.4986,3487197.583402
1611691200000,2021-01-26,7.814,7.844,7.59,7.729,345954.317,2665446.2940524
1611705600000,2021-01-27,7.734,7.734,7.314,7.357,403265.0392,3017585.2023568
1611720000000,2021-01-27,7.349,7.755,7.223,7.678,690243.6506,5148176.2122433
1611734400000,2021-01-27,7.668,7.668,7.116,7.124,776735.1029,5709568.3816904
1611748800000,2021-01-27,7.125,7.226,6.772,7.036,921914.4235,6457926.7364913
1611763200000,2021-01-27,7.037,7.118,6.855,7.02,452280.9661,3163703.616409
1611777600000,2021-01-27,7.024,7.13,6.934,6.95,299489.9376,2108155.7012175
1611792000000,2021-01-28,6.956,7.234,6.812,7.232,364921.8278,2566190.0790273
1611806400000,2021-01-28,7.242,7.509,7.203,7.246,463557.9286,3390066.9025453
1611820800000,2021-01-28,7.251,8.551,7.151,8.39,1690859.131,13291554.3482711
1611835200000,2021-01-28,8.391,8.463,8.001,8.079,1311632.2597,10745181.1342672
1611849600000,2021-01-28,8.089,8.245,7.905,8.22,737658.1811,5949566.9018801
1611864000000,2021-01-28,8.223,8.345,8.023,8.036,467960.6741,3814285.9565668
1611878400000,2021-01-29,8.042,8.52,7.868,7.904,936129.7294,7701764.0043087
1611892800000,2021-01-29,7.9,7.991,7.658,7.84,677811.4943,5314167.4928432
1611907200000,2021-01-29,7.84,8.141,7.735,8.093,747771.5052,5930609.1358854
1611921600000,2021-01-29,8.093,8.206,7.936,8.017,609987.1909,4918716.4875597
1611936000000,2021-01-29,8.023,8.094,7.846,7.9,362650.0664,2900564.8623586
1611950400000,2021-01-29,7.897,8.082,7.813,7.979,306367.1991,2430541.3659907
1611964800000,2021-01-30,7.979,8.033,7.756,7.797,324173.7976,2550652.274521
1611979200000,2021-01-30,7.794,7.919,7.752,7.834,200409.927,1569208.064878
1611993600000,2021-01-30,7.834,8.252,7.778,7.999,477789.0377,3854685.5905575
1612008000000,2021-01-30,8.004,8.3,7.994,8.213,538753.8383,4398914.7812955
1612022400000,2021-01-30,8.21,8.228,7.857,8.022,457392.0665,3674882.1702031
1612036800000,2021-01-30,8.022,8.147,8.0,8.053,194537.8662,1567764.4261574
1612051200000,2021-01-31,8.05,8.363,8.015,8.341,442611.0019,3628784.4739838
1612065600000,2021-01-31,8.35,8.59,8.141,8.585,568156.1241,4751314.1372316
1612080000000,2021-01-31,8.576,8.892,8.379,8.593,978938.6091,8472174.8493573
1612094400000,2021-01-31,8.598,8.845,7.905,8.063,765843.2079,6419265.611409
1612108800000,2021-01-31,8.059,8.066,7.692,7.909,810855.1593,6406294.3942349
1612123200000,2021-01-31,7.899,8.15,7.79,8.146,398453.774,3182579.6824342
1612137600000,2021-02-01,8.141,8.181,7.826,8.181,500208.639,4017853.6207385
1612152000000,2021-02-01,8.186,8.244,8.022,8.069,321344.2543,2614534.7809916
1612166400000,2021-02-01,8.073,8.217,7.917,8.123,517145.5352,4170808.0632794
1612180800000,2021-02-01,8.116,8.376,7.871,8.328,537231.3174,4358637.4725675
1612195200000,2021-02-01,8.327,8.828,8.197,8.824,844539.1152,7142177.7811563
1612209600000,2021-02-01,8.834,9.279,8.702,9.273,1543948.0196,13885245.3804882
1612224000000,2021-02-02,9.281,9.295,8.876,9.007,677996.178,6133434.1568557
1612238400000,2021-02-02,9.006,9.069,8.782,8.933,407189.4013,3636342.5181565
1612252800000,2021-02-02,8.925,9.086,8.851,8.994,399033.8141,3575418.0910501
1612267200000,2021-02-02,8.994,9.338,8.895,8.974,639517.786,5823680.1138434
1612281600000,2021-02-02,8.979,9.007,8.706,8.794,471851.0093,4162473.7965997
1612296000000,2021-02-02,8.785,9.059,8.751,8.892,312464.1348,2780768.4866185
1612310400000,2021-02-03,8.885,8.993,8.77,8.937,289152.0303,2566281.9378356
1612324800000,2021-02-03,8.935,8.95,8.827,8.847,443848.6552,3941544.1041791
1612339200000,2021-02-03,8.847,9.09,8.755,8.911,401390.2025,3562169.9764396
1612353600000,2021-02-03,8.897,9.207,8.838,9.172,808641.4191,7328113.9376939
1612368000000,2021-02-03,9.163,9.217,9.006,9.053,482912.9113,4389334.0044983
1612382400000,2021-02-03,9.059,9.421,9.015,9.305,673472.4773,6220512.3618744
1612396800000,2021-02-04,9.302,9.501,8.951,9.027,647310.6605,6014050.1931644
1612411200000,2021-02-04,9.031,9.237,8.996,9.194,253603.6272,2315855.2946139
1612425600000,2021-02-04,9.195,9.214,8.773,8.932,546894.7681,4932710.4384875
1612440000000,2021-02-04,8.93,9.065,8.628,8.783,494965.5236,4395463.5177383
1612454400000,2021-02-04,8.783,9.255,8.749,9.219,385809.8757,3504638.7418009
1612468800000,2021-02-04,9.221,9.332,8.967,9.155,381844.7935,3508034.786232
1612483200000,2021-02-05,9.155,9.596,9.013,9.495,633170.3651,5944948.4383185
1612497600000,2021-02-05,9.494,9.498,9.377,9.394,372849.2836,3514440.7260246
1612512000000,2021-02-05,9.394,9.91,9.363,9.883,659350.4477,6367187.3362083
1612526400000,2021-02-05,9.878,10.443,9.664,10.225,1050815.4125,10522207.5240506
1612540800000,2021-02-05,10.231,12.833,10.22,11.981,4275297.8326,50647257.5586154
1612555200000,2021-02-05,11.99,12.409,11.777,12.194,988110.4272,11926337.2970525
1612569600000,2021-02-06,12.195,13.641,11.541,11.978,2708391.5245,33826269.3383027
1612584000000,2021-02-06,11.972,12.348,11.666,12.314,525818.3506,6271585.8945108
1612598400000,2021-02-06,12.302,12.361,11.428,11.494,792805.5035,9423272.1548527
1612612800000,2021-02-06,11.493,11.879,11.276,11.455,647354.729,7520431.9631345
1612627200000,2021-02-06,11.454,12.31,11.412,12.178,732105.0436,8741343.4023127
1612641600000,2021-02-06,12.183,12.711,11.94,12.085,885713.0413,10944883.3371885
1612656000000,2021-02-07,12.079,12.359,11.463,11.863,509170.538,6031719.0821031
1612670400000,2021-02-07,11.856,12.603,11.448,12.165,659412.2536,7961098.1630606
1612684800000,2021-02-07,12.167,13.651,12.086,13.501,1617047.6045,21281144.3385055
1612699200000,2021-02-07,13.511,14.031,12.365,12.81,1604996.6742,21189375.1467549
1612713600000,2021-02-07,12.838,13.377,11.89,12.794,1226683.9225,15632048.320401
1612728000000,2021-02-07,12.805,13.986,12.58,13.848,809533.1539,10761681.062042
1612742400000,2021-02-08,13.844,14.96,13.249,14.55,1625203.3169,23011287.1898649
1612756800000,2021-02-08,14.559,15.026,14.061,14.469,944330.9366,13776669.1114507
1612771200000,2021-02-08,14.465,14.745,14.26,14.558,628858.7286,9115466.7398063
1612785600000,2021-02-08,14.554,14.819,13.5,14.152,1127962.3923,15898817.550942
1612800000000,2021-02-08,14.151,14.394,13.759,13.958,442251.8732,6229838.207776
1612814400000,2021-02-08,13.956,14.528,13.846,14.155,435580.5163,6167387.8519579
1612828800000,2021-02-09,14.163,14.438,13.803,14.285,528353.4574,7431310.1308052
1612843200000,2021-02-09,14.279,14.908,14.128,14.381,467701.482,6779755.0302205
1612857600000,2021-02-09,14.392,14.899,14.098,14.329,529561.0852,7664019.4297398
