timestamp_ms,date_utc,open,high,low,close,volume_base,volume_quote
1609459200000,2021-01-01,3.17,4.17,3.04,3.68,1097803.702699,3817871.933692
1609545600000,2021-01-02,3.66,3.94,3.28,3.49,1145438.5406,4072396.460559
1609632000000,2021-01-03,3.49,3.82,3.39,3.47,1071464.1511,3859132.316858
1609718400000,2021-01-04,3.47,3.83,3.24,3.59,1166230.601699,4106350.969003
1609804800000,2021-01-05,3.6,4.35,3.48,4.25,2348050.172299,9404921.826864
1609891200000,2021-01-06,4.25,4.96,4.13,4.57,2275068.245,10438083.476868
1609977600000,2021-01-07,4.57,4.82,4.2,4.47,1165367.6098,5368265.478204
1610064000000,2021-01-08,4.49,5.87,4.04,5.69,2678386.0601,13961692.722895
1610150400000,2021-01-09,5.7,7.47,5.58,7.19,3747402.9419,24677494.737458
1610236800000,2021-01-10,7.2,7.5,6.15,6.54,1776019.9284,12140751.287487
1610323200000,2021-01-11,6.53,7.0,5.73,6.46,2022875.3797,12627809.061495
1610409600000,2021-01-12,6.46,8.24,6.4,7.73,2846741.6626,21606910.418024
1610496000000,2021-01-13,7.73,8.5,7.14,8.46,1699298.4782,13161872.194528
1610582400000,2021-01-14,8.46,9.6,8.21,9.32,2201477.3487,19767609.154544
1610668800000,2021-01-15,9.32,9.9,8.57,9.39,1695238.025,15771796.17156
1610755200000,2021-01-16,9.38,13.55,9.16,12.83,3144273.5999,36990811.660923
1610841600000,2021-01-17,12.83,14.66,12.32,13.18,2972960.0221,39630675.248915
1610928000000,2021-01-18,13.17,13.87,12.59,12.67,1110881.5772,14616435.351783
1611014400000,2021-01-19,12.68,13.41,11.56,11.75,1502891.2866,18609167.311608
1611100800000,2021-01-20,11.75,13.06,11.03,12.37,1486101.865099,18001630.4729
1611187200000,2021-01-21,12.37,13.0,11.07,11.31,1506066.011099,18186781.506759
1611273600000,2021-01-22,11.32,13.38,10.68,12.71,2019902.241,24541322.386361
1611360000000,2021-01-23,12.7,13.47,12.52,12.88,1210886.8301,15709117.966793
1611446400000,2021-01-24,12.88,13.17,12.2,12.47,920380.0228,11708846.058654
1611532800000,2021-01-25,12.48,12.95,12.07,12.17,666888.4308,8392264.977004
1611619200000,2021-01-26,12.16,12.72,11.4,12.19,791135.1406,9530191.631233
1611705600000,2021-01-27,12.17,12.19,10.77,11.15,779922.234499,8903681.087697
1611792000000,2021-01-28,11.14,12.75,10.8,11.95,988884.4443,11970008.375726
1611878400000,2021-01-29,11.95,12.68,11.35,11.61,1294240.0383,15334996.393118
1611964800000,2021-01-30,11.62,12.65,11.28,12.04,1072207.6537,12762258.639763
1612051200000,2021-01-31,12.02,15.35,11.83,13.47,3846968.6495,51862525.056052
1612137600000,2021-02-01,13.47,13.6,12.56,13.22,1561740.248,20298350.826162
1612224000000,2021-02-02,13.21,13.67,12.76,13.45,700785.0895,9203371.369713
1612310400000,2021-02-03,13.46,14.94,13.2,14.84,1086781.234399,15286839.937874
1612396800000,2021-02-04,14.84,15.88,13.85,15.29,1455199.1665,21776685.934639
1612483200000,2021-02-05,15.28,18.09,15.12,17.89,1392562.3147,23309636.47812
1612569600000,2021-02-06,17.89,18.6,15.87,18.09,1298618.5884,22561830.78709
1612656000000,2021-02-07,18.16,24.41,17.83,23.71,3260382.4606,69507287.717417
1612742400000,2021-02-08,23.71,33.8,23.62,30.1,3922889.5632,114623088.134206
1612828800000,2021-02-09,30.07,33.03,27.49,31.81,1872867.042,56072125.507169
1612915200000,2021-02-10,31.83,60.3,31.35,54.71,5503054.0207,268632539.818846
1613001600000,2021-02-11,54.79,56.33,41.8,47.16,1991905.8246,96501874.842582
1613088000000,2021-02-12,47.16,54.47,43.51,48.29,2201230.0227,107851378.218443
1613174400000,2021-02-13,48.34,51.78,40.05,41.22,1008991.862099,47028094.817407
1613260800000,2021-02-14,41.22,42.89,34.83,36.06,988892.4144,38496182.605265
1613347200000,2021-02-15,36.05,42.34,31.25,37.57,1055040.7393,39212715.15371
1613433600000,2021-02-16,37.6,39.63,33.55,35.92,998364.7992,36189696.377949
1613520000000,2021-02-17,35.84,40.56,33.68,35.97,1047659.0335,37601543.895167
1613606400000,2021-02-18,35.97,42.0,34.87,40.98,862692.8942,34792307.893654
1613692800000,2021-02-19,40.99,41.25,37.56,38.77,1515385.5487,59459336.933844
1613779200000,2021-02-20,38.77,43.02,32.24,36.0,2241907.2648,87180486.303906
1613865600000,2021-02-21,35.95,37.98,34.88,36.16,1210757.1014,44317643.597622
1613952000000,2021-02-22,36.2,36.26,25.5,32.25,2055483.7059,66305091.708055
1614038400000,2021-02-23,32.19,32.39,22.9,27.58,2777264.5119,75297720.169002
1614124800000,2021-02-24,27.57,32.16,25.2,29.74,2412478.372399,70098665.667746
1614211200000,2021-02-25,29.74,32.22,26.44,26.73,1822460.713099,53926593.711028
1614297600000,2021-02-26,26.77,28.05,24.91,25.95,1453478.2026,38565052.298753
1614384000000,2021-02-27,25.96,27.45,25.02,25.78,1255803.240499,33215317.392218
1614470400000,2021-02-28,25.76,25.9,22.15,23.95,1363166.500499,32347659.493868
1614556800000,2021-03-01,23.96,27.81,23.6,27.48,1746116.8054,45365723.142997
1614643200000,2021-03-02,27.5,31.94,25.89,27.09,3696728.831,104326678.507596
1614729600000,2021-03-03,27.09,29.45,26.53,27.2,2247263.820999,63036796.32988
1614816000000,2021-03-04,27.21,28.82,24.24,25.76,2305415.987,61262689.379786
1614902400000,2021-03-05,25.76,25.76,23.51,24.25,1888201.2109,46416983.050357
1614988800000,2021-03-06,24.27,25.49,23.84,24.9,1195198.2708,29507483.534731
1615075200000,2021-03-07,24.93,27.95,24.93,26.68,2260980.0782,60299763.803249
1615161600000,2021-03-08,26.71,27.09,25.17,25.61,1679339.7516,43485474.524743
1615248000000,2021-03-09,25.61,34.83,23.65,34.3,6295737.3987,182100394.242084
1615334400000,2021-03-10,34.3,35.73,28.7,29.61,4788326.5334,152819865.542781
1615420800000,2021-03-11,29.61,32.83,28.4,30.82,3529151.9134,108768201.80732
1615507200000,2021-03-12,30.8,31.56,26.88,27.96,2870890.7018,84253681.20981
1615593600000,2021-03-13,27.95,33.33,26.89,30.9,2979095.2841,89567551.02668
1615680000000,2021-03-14,30.92,32.28,28.84,28.88,2193223.9776,67049075.946171
1615766400000,2021-03-15,28.84,30.63,27.0,28.93,2523940.2761,73103137.872173
1615852800000,2021-03-16,28.93,33.25,27.57,33.03,2727138.310499,82379938.01599
1615939200000,2021-03-17,33.02,33.96,30.68,32.68,2659910.587599,85491669.289342
1616025600000,2021-03-18,32.7,35.59,31.76,33.22,2683061.6817,90058255.219995
1616112000000,2021-03-19,33.2,38.49,31.38,37.33,3205326.6898,115649740.507009
1616198400000,2021-03-20,37.32,39.29,34.17,34.2,1893941.823399,69624397.478747
1616284800000,2021-03-21,34.18,35.43,32.0,32.8,1934606.701899,64791410.591717
1616371200000,2021-03-22,32.81,33.59,28.62,29.16,2082670.522,65819839.266899
1616457600000,2021-03-23,29.16,30.87,28.05,28.46,1748791.3054,51763986.172964
1616544000000,2021-03-24,28.45,30.48,24.71,25.8,2234389.6623,63586159.942502
1616630400000,2021-03-25,25.8,27.52,24.34,25.82,1999987.8036,51961882.943532
