timestamp_ms,date_utc,open,high,low,close,volume_base,volume_quote
1609459200000,2021-01-01,3.17,3.308,3.045,3.132,335199.2256,1062984.8285273
1609473600000,2021-01-01,3.131,3.203,3.09,3.202,33711.9203,105277.5516673
1609488000000,2021-01-01,3.206,3.781,3.15,3.658,279331.0456,970544.3021542
1609502400000,2021-01-01,3.684,4.177,3.568,3.668,325463.024,1226537.2680363
1609516800000,2021-01-01,3.692,3.796,3.457,3.601,63713.8196,228302.4791171
1609531200000,2021-01-01,3.592,3.872,3.592,3.683,60384.6676,224225.5041899
1609545600000,2021-01-02,3.666,3.948,3.567,3.887,201154.5812,758498.0510342
1609560000000,2021-01-02,3.891,3.895,3.663,3.665,95221.7893,361274.7854439
1609574400000,2021-01-02,3.66,3.691,3.518,3.581,90762.402,324308.8412017
1609588800000,2021-01-02,3.58,3.623,3.506,3.546,152250.5502,541715.2424529
1609603200000,2021-01-02,3.548,3.548,3.334,3.356,275093.0287,948089.105549
1609617600000,2021-01-02,3.357,3.599,3.287,3.496,330956.1892,1138510.4348775
1609632000000,2021-01-03,3.495,3.54,3.392,3.496,108636.1661,375689.8400672
1609646400000,2021-01-03,3.497,3.589,3.487,3.508,87465.2628,308289.3325143
1609660800000,2021-01-03,3.508,3.737,3.494,3.657,198581.5634,726300.7601335
1609675200000,2021-01-03,3.652,3.777,3.614,3.742,205737.7693,758439.4181425
1609689600000,2021-01-03,3.744,3.829,3.509,3.554,227446.2264,835418.3970567
1609704000000,2021-01-03,3.552,3.636,3.417,3.473,243597.1631,854994.5689438
1609718400000,2021-01-04,3.476,3.698,3.466,3.618,179372.621,646052.2370288
1609732800000,2021-01-04,3.617,3.838,3.495,3.568,283953.4347,1044235.5438428
1609747200000,2021-01-04,3.566,3.646,3.243,3.421,299466.556,1023345.306438
1609761600000,2021-01-04,3.418,3.508,3.344,3.443,165258.4682,564512.7558419
1609776000000,2021-01-04,3.448,3.494,3.341,3.459,105441.5804,359552.658667
1609790400000,2021-01-04,3.46,3.613,3.408,3.599,132737.9414,468652.4671846
