timestamp_ms,date_utc,open,high,low,close,volume_base,volume_quote
1609459200000,2021-01-01,9.262,9.422,9.0,9.125,3912800.8881,36013412.278904
1609473600000,2021-01-01,9.128,9.252,8.685,9.005,2931273.5918,26296371.9936607
1609488000000,2021-01-01,9.009,9.117,8.741,8.932,2623997.4253,23315895.7358328
1609502400000,2021-01-01,8.931,8.993,8.32,8.505,3673354.4443,31859229.4807383
1609516800000,2021-01-01,8.504,8.667,8.083,8.229,5099210.5629,42515894.2668718
1609531200000,2021-01-01,8.223,8.454,8.122,8.277,2284229.7429,18907045.1225061
1609545600000,2021-01-02,8.269,8.737,7.883,8.65,4500436.0256,37289827.8319491
1609560000000,2021-01-02,8.646,8.702,8.23,8.23,2369187.2803,20037119.9520777
1609574400000,2021-01-02,8.237,8.698,8.13,8.557,2332726.7446,19589031.0697402
1609588800000,2021-01-02,8.559,9.309,8.404,9.298,5250658.9433,46990155.2189638
1609603200000,2021-01-02,9.298,9.839,9.11,9.443,4478353.6722,42402854.0788839
1609617600000,2021-01-02,9.444,9.444,8.437,9.204,3697177.1053,33506792.8048352
1609632000000,2021-01-03,9.203,9.296,8.843,9.01,1834869.8085,16595121.5042919
1609646400000,2021-01-03,9.009,9.466,8.994,9.117,2365268.1115,21750122.6308113
1609660800000,2021-01-03,9.116,9.5,8.884,9.186,3233122.6276,29586411.0025025
1609675200000,2021-01-03,9.185,9.77,9.008,9.17,4678181.188,43697122.7294128
1609689600000,2021-01-03,9.177,9.8,9.177,9.682,4514141.409,43109986.5856584
1609704000000,2021-01-03,9.682,10.5,9.604,10.133,4214087.8697,42322309.9100527
1609718400000,2021-01-04,10.147,10.515,9.977,10.462,3076815.0279,31483346.3220289
1609732800000,2021-01-04,10.472,10.489,9.315,9.717,4698237.8053,47156511.7682437
1609747200000,2021-01-04,9.727,9.951,8.723,9.389,5137447.0198,48125429.3279301
1609761600000,2021-01-04,9.399,9.726,8.916,9.522,3439900.2155,32189280.9422097
1609776000000,2021-01-04,9.523,9.566,9.1,9.518,2514374.7324,23328957.6019108
1609790400000,2021-01-04,9.515,9.544,9.202,9.513,1185255.3814,11106953.0936033
1609804800000,2021-01-05,9.515,9.955,9.275,9.284,3088839.0854,29773416.3908788
1609819200000,2021-01-05,9.274,9.402,9.021,9.192,1895384.5153,17516555.6085126
1609833600000,2021-01-05,9.192,9.744,9.192,9.743,1827805.3949,17241752.8867319
1609848000000,2021-01-05,9.746,9.8,9.346,9.683,1762849.6025,16871036.5301107
1609862400000,2021-01-05,9.683,10.049,9.57,9.961,2579296.6548,25432192.3417284
1609876800000,2021-01-05,9.953,9.964,9.597,9.71,1599147.1306,15727638.5673364
1609891200000,2021-01-06,9.719,9.896,9.47,9.743,1597572.6468,15446964.459867
1609905600000,2021-01-06,9.742,9.966,9.583,9.679,2330389.0651,22818497.6027544
1609920000000,2021-01-06,9.682,9.907,9.456,9.785,2474543.1301,23942525.3594383
1609934400000,2021-01-06,9.791,10.43,9.77,9.902,4559924.9133,45989672.0886317
1609948800000,2021-01-06,9.909,10.283,9.843,9.86,2032211.7002,20466821.5345042
1609963200000,2021-01-06,9.865,10.183,9.732,10.074,1995599.9916,19913534.7516481
1609977600000,2021-01-07,10.076,10.7,9.996,10.301,3064962.1828,31638763.5949025
1609992000000,2021-01-07,10.292,10.312,9.751,9.823,2016106.6707,20225873.5236308
1610006400000,2021-01-07,9.83,10.017,9.7,9.821,2400812.4945,23573332.1042374
1610020800000,2021-01-07,9.815,10.048,9.7,9.976,1730506.6225,17103056.4903206
1610035200000,2021-01-07,9.98,10.35,9.66,9.895,4173239.4804,41508480.0283956
1610049600000,2021-01-07,9.908,9.977,9.6,9.651,2255761.2742,21970702.7899573
1610064000000,2021-01-08,9.655,9.71,9.0,9.232,4275872.7462,39735712.2678704
1610078400000,2021-01-08,9.227,9.511,9.01,9.444,1504402.5163,13930598.7042795
1610092800000,2021-01-08,9.443,9.816,9.269,9.493,1929554.0059,18368724.9371937
1610107200000,2021-01-08,9.493,9.577,9.088,9.23,2299951.9443,21498395.1505477
1610121600000,2021-01-08,9.237,9.455,9.052,9.061,1661715.4524,15289769.6795882
1610136000000,2021-01-08,9.065,9.467,9.0,9.303,1802278.2563,16438499.2626087
1610150400000,2021-01-09,9.298,9.453,9.03,9.338,1745634.0131,16051957.0360507
1610164800000,2021-01-09,9.341,9.366,9.065,9.177,915277.0924,8393715.8881904
1610179200000,2021-01-09,9.181,9.445,9.097,9.387,1221170.0905,11348117.6245576
1610193600000,2021-01-09,9.392,9.562,9.299,9.391,1260346.9775,11881825.0064029
1610208000000,2021-01-09,9.393,9.624,9.2,9.624,1152143.676,10865325.4872706
1610222400000,2021-01-09,9.622,9.819,9.516,9.738,1629734.2971,15760154.3791843
1610236800000,2021-01-10,9.742,9.99,9.586,9.586,1394633.0702,13656390.0607208
1610251200000,2021-01-10,9.588,9.929,9.574,9.805,1102145.9268,10746292.3991147
1610265600000,2021-01-10,9.808,9.931,9.3,9.325,2285637.7827,21914891.1294155
1610280000000,2021-01-10,9.323,9.571,9.09,9.383,1594674.2093,14966023.7078381
1610294400000,2021-01-10,9.383,9.443,9.07,9.119,1175107.8831,10837441.0814628
1610308800000,2021-01-10,9.112,9.364,8.68,9.294,1672406.0858,15162402.5778078
1610323200000,2021-01-11,9.297,9.321,7.158,7.981,4622766.4991,38083735.8378575
1610337600000,2021-01-11,7.972,8.208,7.414,8.102,5647937.3498,44429792.9014392
1610352000000,2021-01-11,8.099,8.463,7.959,8.103,3076814.2436,25213704.4348801
1610366400000,2021-01-11,8.114,8.266,7.348,7.806,4577910.632,36035964.9634122
1610380800000,2021-01-11,7.792,7.992,7.273,7.709,4361466.4235,33249965.459983
1610395200000,2021-01-11,7.703,8.294,7.564,8.269,2190883.8636,17539787.069706
1610409600000,2021-01-12,8.271,8.404,7.98,8.377,2035796.9262,16656747.3716675
1610424000000,2021-01-12,8.385,8.627,8.214,8.612,2335413.6537,19593703.4451941
1610438400000,2021-01-12,8.602,8.715,8.108,8.314,1894257.286,15939008.8741532
1610452800000,2021-01-12,8.315,8.538,7.932,8.162,1996316.9452,16358032.5713133
1610467200000,2021-01-12,8.164,8.501,8.164,8.306,1377228.6518,11449109.5387028
1610481600000,2021-01-12,8.296,8.434,8.08,8.308,1333021.6796,10990755.4397442
1610496000000,2021-01-13,8.311,8.608,7.983,8.544,2106759.6592,17306918.466761
1610510400000,2021-01-13,8.544,8.922,8.32,8.853,2277630.7463,19694144.7815606
1610524800000,2021-01-13,8.85,9.356,8.685,9.21,3036807.9039,27689073.721804
1610539200000,2021-01-13,9.216,9.8,8.953,9.675,3565932.6247,33581155.7126896
1610553600000,2021-01-13,9.676,10.67,9.675,10.06,5461049.0233,55814127.5459125
1610568000000,2021-01-13,10.061,11.411,10.061,10.941,4265391.2145,46580698.4187513
1610582400000,2021-01-14,10.948,11.702,10.934,11.27,4329251.4848,49060583.7836434
