timestamp_ms,date_utc,open,high,low,close,volume_base,volume_quote
1609459200000,2021-01-01,1.51,1.609,1.499,1.605,298467.2251,469411.7471055
1609473600000,2021-01-01,1.605,1.636,1.583,1.617,380000.552,613953.2772167
1609488000000,2021-01-01,1.616,1.649,1.573,1.62,356000.0135,573462.3390923
1609502400000,2021-01-01,1.622,1.67,1.582,1.655,563650.6402,913447.5007635
1609516800000,2021-01-01,1.654,1.833,1.618,1.728,1090481.2401,1885953.6033532
1609531200000,2021-01-01,1.729,1.861,1.728,1.846,570280.5008,1020751.1343868
1609545600000,2021-01-02,1.838,1.898,1.725,1.862,926941.7305,1676739.0990723
1609560000000,2021-01-02,1.861,1.861,1.746,1.75,478070.6408,857263.2366887
1609574400000,2021-01-02,1.75,1.779,1.721,1.755,462375.9599,810243.2804402
1609588800000,2021-01-02,1.756,1.841,1.717,1.777,639321.4868,1137708.6134606
1609603200000,2021-01-02,1.778,1.983,1.752,1.916,695510.9764,1320921.814412
1609617600000,2021-01-02,1.918,1.918,1.755,1.799,419872.6003,762110.4706055
1609632000000,2021-01-03,1.799,1.948,1.799,1.946,404093.258,757116.7150625
1609646400000,2021-01-03,1.947,2.099,1.929,2.073,710334.1986,1431337.2531691
1609660800000,2021-01-03,2.074,2.372,2.072,2.268,1396940.4624,3121680.6503154
1609675200000,2021-01-03,2.265,2.327,2.009,2.076,1177608.5393,2513229.1616074
1609689600000,2021-01-03,2.075,2.115,1.907,1.958,625023.8899,1251098.2709892
1609704000000,2021-01-03,1.958,2.178,1.956,2.178,706618.6469,1467789.2052012
1609718400000,2021-01-04,2.199,2.391,2.125,2.311,1058137.1272,2404308.156771
1609732800000,2021-01-04,2.309,2.362,2.08,2.127,532423.8463,1203500.7212622
1609747200000,2021-01-04,2.128,2.21,1.875,2.044,1004826.7589,2036909.8301527
1609761600000,2021-01-04,2.045,2.37,2.02,2.285,726839.0252,1586300.4376412
1609776000000,2021-01-04,2.284,2.441,2.122,2.432,546555.0999,1241061.0348555
1609790400000,2021-01-04,2.433,2.496,2.192,2.49,899274.3511,2123273.5957095
1609804800000,2021-01-05,2.489,2.503,2.173,2.182,815813.7618,1952917.7075094
