timestamp_ms,date_utc,open,high,low,close,volume_base,volume_quote
1609459200000,2021-01-01,5.15,5.268,4.611,4.734,11770504.8808,58215764.921405
1609545600000,2021-01-02,4.735,5.179,4.481,4.86,14077096.97516,67190337.349932
1609632000000,2021-01-03,4.861,5.637,4.678,5.514,14569636.28857,74369019.815557
1609718400000,2021-01-04,5.519,6.197,4.85,5.426,14827680.88446,81382363.202475
1609804800000,2021-01-05,5.424,6.554,5.206,6.251,12111535.39556,71316057.069532
1609891200000,2021-01-06,6.249,6.589,6.01,6.409,7779249.687129,48555923.906146
1609977600000,2021-01-07,6.415,6.813,6.009,6.256,7092115.56422,44958548.479473
1610064000000,2021-01-08,6.267,6.374,5.48,5.878,7322022.97307,43720337.105248
1610150400000,2021-01-09,5.875,6.345,5.666,6.223,6112411.26986,37010748.929699
1610236800000,2021-01-10,6.22,6.577,5.554,5.985,7240841.04655,44544407.825766
1610323200000,2021-01-11,5.98,6.001,4.403,5.237,12691196.13095,65074640.813353
1610409600000,2021-01-12,5.24,5.819,4.968,5.59,7878888.822939,42583454.993091
1610496000000,2021-01-13,5.592,6.38,5.253,6.344,6468959.98808,37637437.145203
1610582400000,2021-01-14,6.337,7.143,6.182,6.964,10188045.71677,67252354.407458
1610668800000,2021-01-15,6.963,7.487,6.4,7.372,14898997.89135,105176530.620676
1610755200000,2021-01-16,7.377,9.379,7.186,8.395,14153788.50494,114794344.757655
1610841600000,2021-01-17,8.4,9.175,8.068,8.682,10857073.1027,93152552.188453
1610928000000,2021-01-18,8.675,9.87,8.3,9.193,8686040.59702,79030420.06183
1611014400000,2021-01-19,9.197,9.67,8.467,8.588,7404554.27036,67518121.010533
1611100800000,2021-01-20,8.59,9.045,7.654,8.972,8366430.095629,69463034.528952
1611187200000,2021-01-21,8.976,9.035,7.329,7.581,9549200.43013,77468833.948787
1611273600000,2021-01-22,7.587,9.021,7.04,8.694,8778904.775,71516849.594499
1611360000000,2021-01-23,8.699,9.535,8.489,9.337,5512530.37878,49971991.758006
1611446400000,2021-01-24,9.337,12.309,9.159,12.031,11752851.29689,125979646.154254
1611532800000,2021-01-25,12.033,12.892,10.876,11.315,11533186.09799,136727431.863591
1611619200000,2021-01-26,11.308,14.253,11.165,13.91,15352590.74968,196099539.324242
1611705600000,2021-01-27,13.909,15.49,13.031,14.734,16183662.60139,227846049.532982
1611792000000,2021-01-28,14.74,15.4,13.525,14.101,12386467.00191,179064687.277488
1611878400000,2021-01-29,14.094,15.85,14.076,15.637,11634501.352979,172993340.487854
1611964800000,2021-01-30,15.643,19.616,15.067,19.538,11780016.97964,199619823.52452
1612051200000,2021-01-31,19.549,20.551,17.411,17.725,13196820.25883,249549868.276942
1612137600000,2021-02-01,17.725,20.755,16.68,20.461,10553667.091149,195907981.054886
1612224000000,2021-02-02,20.458,20.584,18.035,18.965,7650308.57473,145987257.418218
1612310400000,2021-02-03,18.966,20.537,18.707,19.713,6836706.41693,134355757.665403
1612396800000,2021-02-04,19.716,21.564,19.18,20.123,7779886.15621,160477388.448425
1612483200000,2021-02-05,20.118,22.471,19.637,21.162,6390336.392659,132851554.15824
1612569600000,2021-02-06,21.152,21.662,19.209,19.239,5259879.97983,104969254.898806
1612656000000,2021-02-07,19.247,19.665,17.107,18.673,5482045.26909,100658392.392996
1612742400000,2021-02-08,18.663,20.15,18.118,19.322,5241204.295519,100457826.783337
1612828800000,2021-02-09,19.327,19.888,18.893,19.496,4087471.468799,78886768.880112
1612915200000,2021-02-10,19.502,22.408,19.5,20.682,6573311.67972,137532939.825446
1613001600000,2021-02-11,20.679,22.0,20.129,21.444,3707630.95695,77271349.570485
1613088000000,2021-02-12,21.452,23.82,21.229,22.654,5103901.62618,115170851.933066
1613174400000,2021-02-13,22.647,23.546,21.243,21.773,3861311.705429,85982215.906984
1613260800000,2021-02-14,21.775,22.596,20.68,20.837,2729622.04195,59254752.816891
1613347200000,2021-02-15,20.832,21.527,17.123,20.089,5449955.46483,107523848.73806
1613433600000,2021-02-16,20.096,21.315,19.375,20.468,3661580.689599,75507246.376648
1613520000000,2021-02-17,20.468,21.791,19.167,21.508,3588976.355749,73453123.822446
1613606400000,2021-02-18,21.529,22.254,20.572,21.16,3934185.74912,84063527.878219
1613692800000,2021-02-19,21.165,21.538,19.319,20.061,5452699.5377,111347109.828092
1613779200000,2021-02-20,20.054,33.051,19.5,28.748,19051029.52393,517600602.970591
1613865600000,2021-02-21,28.737,32.198,27.765,28.779,10504002.05029,315754981.550819
1613952000000,2021-02-22,28.79,29.184,22.05,27.719,9943272.11094,264764548.317349
1614038400000,2021-02-23,27.723,27.8,18.1,24.816,14409095.780229,327585581.949372
1614124800000,2021-02-24,24.832,27.348,23.104,25.267,7027289.785859,181598868.87683
1614211200000,2021-02-25,25.249,26.981,23.094,23.516,6108484.36113,153366836.955098
1614297600000,2021-02-26,23.499,25.202,21.02,23.1,6415918.32932,147442112.329837
1614384000000,2021-02-27,23.106,24.861,22.303,23.562,4534120.37148,108368589.987599
1614470400000,2021-02-28,23.55,24.131,20.482,22.209,5953267.89699,130279940.481065
1614556800000,2021-03-01,22.211,25.727,22.055,25.724,4960956.97457,117752562.763391
1614643200000,2021-03-02,25.716,27.442,24.503,25.548,6557688.21338,170987583.599615
1614729600000,2021-03-03,25.546,27.6,25.268,25.366,4528752.63069,119556724.882334
1614816000000,2021-03-04,25.361,29.756,24.667,28.257,9198928.686169,256242721.297441
1614902400000,2021-03-05,28.261,28.756,25.806,28.291,6440800.297119,175750920.257986
1614988800000,2021-03-06,28.282,29.033,27.16,28.522,3638986.33013,102611163.363495
1615075200000,2021-03-07,28.538,34.868,28.503,34.241,7448233.3471,233785230.743792
1615161600000,2021-03-08,34.28,34.94,32.049,33.231,5940746.5882,198383479.785468
1615248000000,2021-03-09,33.23,34.799,32.351,32.879,4357286.49989,144976832.62924
1615334400000,2021-03-10,32.874,33.517,30.336,30.9,3676723.624209,116811852.994547
1615420800000,2021-03-11,30.897,31.818,29.5,31.015,2995451.13395,91940829.699758
1615507200000,2021-03-12,31.002,31.976,29.25,30.926,3126837.41124,95765185.108469
1615593600000,2021-03-13,30.938,33.346,30.172,32.466,3367510.22313,108679190.898147
