timestamp_ms,date_utc,open,high,low,close,volume_base,volume_quote
1609459200000,2021-01-01,5.15,5.268,4.997,5.154,2118932.19643,10907450.87616205
1609473600000,2021-01-01,5.153,5.164,4.852,4.996,2144454.60896,10737361.37526246
1609488000000,2021-01-01,4.999,5.119,4.856,5.007,1754033.1403,8785666.33784911
1609502400000,2021-01-01,5.004,5.056,4.701,4.776,2547005.8761,12497696.97901348
1609516800000,2021-01-01,4.775,4.87,4.611,4.818,2160074.47909,10279121.23698004
1609531200000,2021-01-01,4.813,4.897,4.683,4.734,1046004.57992,5008468.11613816
1609545600000,2021-01-02,4.735,4.829,4.493,4.813,2086060.24111,9684597.7558243
1609560000000,2021-01-02,4.815,4.94,4.659,4.682,1627369.56526,7825934.67593064
1609574400000,2021-01-02,4.684,4.708,4.481,4.617,1953003.32057,8992052.56001613
1609588800000,2021-01-02,4.618,4.88,4.521,4.879,2722548.26607,12833087.40510547
1609603200000,2021-01-02,4.881,5.179,4.689,5.058,3029996.56672,14842658.83253992
1609617600000,2021-01-02,5.058,5.141,4.653,4.86,2658119.01543,13012006.12051597
1609632000000,2021-01-03,4.861,4.889,4.71,4.722,1014934.26704,4839065.41718697
1609646400000,2021-01-03,4.721,5.028,4.678,4.773,1756933.06434,8481950.09606141
1609660800000,2021-01-03,4.773,5.154,4.703,5.092,2986186.17984,14804263.62537302
1609675200000,2021-01-03,5.089,5.444,5.007,5.245,4549145.00064,23730627.23978177
1609689600000,2021-01-03,5.251,5.389,4.994,5.136,2422052.69168,12610919.03493849
1609704000000,2021-01-03,5.136,5.637,5.133,5.514,1840385.08503,9902194.40221544
1609718400000,2021-01-04,5.519,5.986,5.354,5.967,2391932.045,13598797.65721624
1609732800000,2021-01-04,5.972,6.197,5.477,5.65,3363528.22696,19601933.66386356
1609747200000,2021-01-04,5.648,5.768,4.85,5.312,3232151.15853,17118784.21097513
1609761600000,2021-01-04,5.314,5.57,5.207,5.37,2521375.4808,13538745.8669253
1609776000000,2021-01-04,5.372,5.443,5.147,5.441,2079080.68288,10954738.37978342
1609790400000,2021-01-04,5.438,5.48,5.174,5.426,1239613.29029,6569363.42371178
1609804800000,2021-01-05,5.424,5.743,5.253,5.278,2258939.31523,12514796.93079194
1609819200000,2021-01-05,5.28,5.457,5.206,5.423,1594710.98224,8531447.43347929
1609833600000,2021-01-05,5.422,5.939,5.422,5.921,1716675.34754,9744814.21435228
1609848000000,2021-01-05,5.92,6.199,5.656,6.197,2380194.52397,14038561.8449622
1609862400000,2021-01-05,6.199,6.55,6.081,6.388,2428350.17466,15406944.85771317
1609876800000,2021-01-05,6.385,6.554,6.165,6.251,1732665.05192,11079491.78823364
1609891200000,2021-01-06,6.249,6.364,6.01,6.203,1582422.41255,9792976.41505375
1609905600000,2021-01-06,6.204,6.441,6.089,6.156,1446412.21993,9012803.47089624
1609920000000,2021-01-06,6.154,6.354,6.036,6.287,1388286.03691,8573816.36118722
1609934400000,2021-01-06,6.287,6.376,6.16,6.175,1224739.87476,7661242.03403065
1609948800000,2021-01-06,6.176,6.589,6.176,6.191,1174070.23906,7482215.89495228
1609963200000,2021-01-06,6.199,6.418,6.057,6.409,963318.90392,6032869.73002593
1609977600000,2021-01-07,6.415,6.44,6.165,6.303,1136040.96378,7127548.34721081
1609992000000,2021-01-07,6.304,6.311,6.122,6.211,1125851.73889,6986421.27245174
1610006400000,2021-01-07,6.214,6.283,6.09,6.182,907354.83704,5606999.14511721
1610020800000,2021-01-07,6.182,6.699,6.147,6.651,1435472.72846,9178436.17817618
1610035200000,2021-01-07,6.653,6.813,6.009,6.316,1689772.32855,11001583.13287487
1610049600000,2021-01-07,6.317,6.487,6.187,6.256,797622.9675,5057560.40364244
1610064000000,2021-01-08,6.267,6.294,5.48,5.829,1811626.29291,10672439.93333536
1610078400000,2021-01-08,5.827,6.13,5.722,6.127,1126762.46423,6658018.52119872
1610092800000,2021-01-08,6.127,6.374,6.028,6.217,1183391.51465,7330928.74236563
1610107200000,2021-01-08,6.219,6.26,5.864,5.98,1199691.54079,7358068.07307322
1610121600000,2021-01-08,5.982,6.133,5.732,5.777,959111.82277,5694013.00984654
1610136000000,2021-01-08,5.773,5.928,5.6,5.878,1041439.33772,6006868.82542861
1610150400000,2021-01-09,5.875,6.132,5.666,6.081,1390491.41268,8173488.81447763
1610164800000,2021-01-09,6.075,6.081,5.774,5.942,913188.72111,5392195.12085819
1610179200000,2021-01-09,5.949,6.239,5.893,6.133,1115480.06322,6811550.16273716
1610193600000,2021-01-09,6.135,6.246,6.006,6.115,892553.44472,5467526.10167009
1610208000000,2021-01-09,6.108,6.247,5.96,6.202,777497.52563,4747966.66368457
1610222400000,2021-01-09,6.202,6.345,6.144,6.223,1023200.1025,6418022.06627193
1610236800000,2021-01-10,6.22,6.48,6.22,6.244,1019726.21321,6480152.53157146
1610251200000,2021-01-10,6.247,6.577,6.236,6.52,1147536.83561,7373008.3870384
1610265600000,2021-01-10,6.517,6.542,5.989,6.007,1561054.06619,9797499.83331984
1610280000000,2021-01-10,6.005,6.192,5.833,6.09,1299527.00068,7858053.52178165
1610294400000,2021-01-10,6.088,6.156,5.782,5.814,983162.63665,5830929.2223657
