timestamp_ms,date_utc,open,high,low,close,volume_base,volume_quote
1609459200000,2021-01-01,0.2196,0.2291,0.2161,0.2273,20325452.15,4535142.5728417
1609473600000,2021-01-01,0.2272,0.2504,0.226,0.2295,61554866.52,14600678.2221055
1609488000000,2021-01-01,0.2295,0.2424,0.2245,0.2376,30399497.609,7120939.3030069
1609502400000,2021-01-01,0.2375,0.2446,0.2313,0.243,24172386.72,5733662.7511214
1609516800000,2021-01-01,0.2431,0.25,0.2289,0.2339,49449903.269,11825858.0743049
1609531200000,2021-01-01,0.2338,0.2411,0.2326,0.2375,12680573.599,3008393.5603814
1609545600000,2021-01-02,0.2375,0.2382,0.2308,0.2347,17987574.895,4220201.3106623
1609560000000,2021-01-02,0.2347,0.2377,0.2325,0.2335,10758100.677,2522021.1733717
1609574400000,2021-01-02,0.2334,0.2342,0.2218,0.2276,24690191.298,5597860.9198205
1609588800000,2021-01-02,0.2277,0.2335,0.2258,0.2288,21695706.933,4986631.4460335
1609603200000,2021-01-02,0.2287,0.2287,0.215,0.2206,36673241.322,8171369.5363634
1609617600000,2021-01-02,0.2207,0.2289,0.2115,0.2207,27798729.659,6132894.4814548
1609632000000,2021-01-03,0.2206,0.2235,0.2173,0.2214,17414099.19,3836184.3414874
1609646400000,2021-01-03,0.2213,0.2252,0.215,0.2179,19889457.521,4381266.6543633
1609660800000,2021-01-03,0.2179,0.2266,0.2161,0.2211,28180744.089,6202760.6776677
1609675200000,2021-01-03,0.221,0.2252,0.2172,0.2211,30069264.658,6661867.3821413
1609689600000,2021-01-03,0.221,0.2386,0.2193,0.2251,48896888.647,11180107.2634017
1609704000000,2021-01-03,0.2251,0.2295,0.2228,0.2252,15677906.48,3545277.611511
1609718400000,2021-01-04,0.2253,0.2355,0.2226,0.2325,25232607.018,5793787.5361332
1609732800000,2021-01-04,0.2326,0.2606,0.2302,0.2399,71479352.62,17292699.4116703
1609747200000,2021-01-04,0.2402,0.2452,0.2155,0.2316,70318998.957,16198966.7023534
1609761600000,2021-01-04,0.2317,0.235,0.2252,0.2339,27936877.869,6421783.218658
1609776000000,2021-01-04,0.2338,0.2405,0.2276,0.2314,22089402.399,5125409.5722085
1609790400000,2021-01-04,0.2314,0.2378,0.2283,0.2358,14457544.356,3361376.1707692
1609804800000,2021-01-05,0.2357,0.2397,0.2269,0.2278,25557676.415,5984180.3120706
1609819200000,2021-01-05,0.2277,0.2314,0.2251,0.2298,19630732.639,4494697.5483784
1609833600000,2021-01-05,0.2299,0.2429,0.2298,0.2381,20660034.147,4854682.3381094
1609848000000,2021-01-05,0.2383,0.2393,0.2172,0.2271,59797486.063,13568451.0813516
1609862400000,2021-01-05,0.2271,0.2296,0.2215,0.225,24585693.788,5558389.4745809
1609876800000,2021-01-05,0.2251,0.2274,0.2223,0.2257,17325197.618,3902839.60097
1609891200000,2021-01-06,0.2258,0.2353,0.2214,0.225,30978851.146,7040777.2824797
1609905600000,2021-01-06,0.225,0.2299,0.2246,0.227,20063122.864,4546866.7774041
1609920000000,2021-01-06,0.227,0.2338,0.2248,0.2275,24491478.355,5581823.8533967
1609934400000,2021-01-06,0.2274,0.2751,0.2268,0.2469,85491758.235,21185329.6352283
1609948800000,2021-01-06,0.2466,0.258,0.2384,0.2478,40313998.908,9976881.6835766
1609963200000,2021-01-06,0.248,0.2552,0.2361,0.2486,49326298.431,12157910.1144306
1609977600000,2021-01-07,0.2487,0.2787,0.2452,0.2776,55876984.649,14553259.7135279
1609992000000,2021-01-07,0.2773,0.3184,0.2754,0.2885,128324869.274,37659131.5293178
1610006400000,2021-01-07,0.2888,0.3617,0.2763,0.358,118810493.039,37774138.5024713
1610020800000,2021-01-07,0.3581,0.3607,0.3238,0.3363,82708038.786,28006345.5006626
1610035200000,2021-01-07,0.3363,0.3707,0.2886,0.3267,132332222.772,44082702.4611687
1610049600000,2021-01-07,0.3267,0.3458,0.3092,0.3237,55852956.685,18238896.8637958
1610064000000,2021-01-08,0.3237,0.3464,0.281,0.3031,98152444.263,30711662.9129915
1610078400000,2021-01-08,0.3031,0.3257,0.2962,0.3211,54750568.949,16902047.1623511
1610092800000,2021-01-08,0.3212,0.345,0.3152,0.3288,64141962.657,21188923.0213126
1610107200000,2021-01-08,0.3288,0.3314,0.3021,0.3125,60761721.67,19296218.5674987
1610121600000,2021-01-08,0.3128,0.322,0.3044,0.3101,35866318.806,11218025.9609371
1610136000000,2021-01-08,0.3103,0.3239,0.2972,0.3206,38116019.258,11719495.1291345
1610150400000,2021-01-09,0.3205,0.3275,0.3056,0.3222,54959509.815,17401830.536413
1610164800000,2021-01-09,0.3221,0.3224,0.3086,0.3179,37902539.526,11932262.0671032
1610179200000,2021-01-09,0.318,0.3321,0.3136,0.3229,32060224.325,10298241.065128
1610193600000,2021-01-09,0.323,0.3297,0.316,0.3223,22032262.686,7136483.1479689
1610208000000,2021-01-09,0.3221,0.3289,0.3141,0.3273,21394840.734,6873875.7322777
1610222400000,2021-01-09,0.3274,0.3395,0.3217,0.3245,17335273.888,5702962.3010075
1610236800000,2021-01-10,0.3243,0.3399,0.3241,0.3321,26327904.398,8772328.5983056
1610251200000,2021-01-10,0.332,0.3685,0.3305,0.3532,52825469.839,18567255.1406964
1610265600000,2021-01-10,0.3536,0.3586,0.3151,0.3215,55465913.903,18572038.5332571
1610280000000,2021-01-10,0.3213,0.3374,0.316,0.3269,45463671.844,14931577.6770557
1610294400000,2021-01-10,0.3269,0.3303,0.3098,0.3119,32264091.001,10267666.7795803
1610308800000,2021-01-10,0.312,0.3195,0.2878,0.3148,44693064.085,13793291.4102938
1610323200000,2021-01-11,0.3147,0.316,0.2532,0.275,57763251.224,16646528.8671759
1610337600000,2021-01-11,0.2747,0.2848,0.2623,0.2796,69933161.153,19288555.5869238
1610352000000,2021-01-11,0.2797,0.3,0.2766,0.2839,46510200.463,13417695.4366911
1610366400000,2021-01-11,0.2839,0.2892,0.2607,0.2665,55902243.18,15411669.6295546
1610380800000,2021-01-11,0.2661,0.2814,0.2587,0.2756,50631384.797,13714630.4815162
1610395200000,2021-01-11,0.2756,0.2891,0.2705,0.2874,19458325.425,5473916.513566
1610409600000,2021-01-12,0.2875,0.3053,0.2797,0.3031,26955587.104,7791430.4154111
1610424000000,2021-01-12,0.3031,0.31,0.296,0.3044,37175361.382,11271402.9662147
1610438400000,2021-01-12,0.3042,0.3056,0.2875,0.2935,25960271.672,7688821.4346446
1610452800000,2021-01-12,0.2936,0.2998,0.2776,0.2856,24200890.302,6974557.9793699
1610467200000,2021-01-12,0.2854,0.3033,0.2854,0.2927,18713129.54,5526616.0906344
1610481600000,2021-01-12,0.2926,0.3001,0.2864,0.2924,14297454.33,4179610.7936066
1610496000000,2021-01-13,0.2924,0.2971,0.2847,0.2933,23571076.611,6859111.5729238
1610510400000,2021-01-13,0.2933,0.2995,0.2877,0.298,12680744.481,3721029.6316291
1610524800000,2021-01-13,0.2982,0.3053,0.2944,0.2989,20975380.916,6280836.1317705
1610539200000,2021-01-13,0.2991,0.3026,0.2959,0.2996,13490530.239,4029818.0985746
1610553600000,2021-01-13,0.2996,0.3062,0.2977,0.3027,10126335.694,3056375.2865063
1610568000000,2021-01-13,0.3029,0.3098,0.2998,0.3057,10821642.936,3298573.692407
1610582400000,2021-01-14,0.3057,0.309,0.2833,0.2905,37553700.734,11021385.9112227
1610596800000,2021-01-14,0.2906,0.2995,0.2894,0.2977,14110608.038,4173762.4459079
1610611200000,2021-01-14,0.2976,0.2993,0.2927,0.2953,12666384.707,3743835.3685285
1610625600000,2021-01-14,0.2952,0.3,0.2906,0.2973,17398974.201,5150101.6351214
1610640000000,2021-01-14,0.2972,0.305,0.2958,0.2969,16020150.595,4794304.2481841
1610654400000,2021-01-14,0.2967,0.298,0.2906,0.2965,8249317.014,2426984.0079874
1610668800000,2021-01-15,0.2966,0.3035,0.2943,0.2961,13848768.186,4128123.3963936
1610683200000,2021-01-15,0.2961,0.2968,0.2888,0.2937,12779653.897,3735547.0193712
1610697600000,2021-01-15,0.2936,0.2945,0.2903,0.2911,9333889.808,2728724.5947003
1610712000000,2021-01-15,0.2912,0.2917,0.2721,0.2742,29349801.467,8283083.9727285
1610726400000,2021-01-15,0.274,0.2802,0.2618,0.2746,33923755.387,9263590.1006094
1610740800000,2021-01-15,0.2744,0.2816,0.2717,0.2799,11103326.686,3081285.5256094
1610755200000,2021-01-16,0.28,0.2865,0.2783,0.2793,13410088.427,3778618.6449446
1610769600000,2021-01-16,0.2794,0.2821,0.2758,0.2813,10220350.905,2853566.1931247
1610784000000,2021-01-16,0.2815,0.2949,0.2801,0.2921,19047866.172,5460811.558287
1610798400000,2021-01-16,0.2921,0.2965,0.2841,0.2879,18740141.325,5423880.1025285
1610812800000,2021-01-16,0.288,0.2913,0.2788,0.2837,12569051.282,3577775.6161711
1610827200000,2021-01-16,0.2836,0.2856,0.2752,0.2792,9179003.993,2574477.2359579
1610841600000,2021-01-17,0.2792,0.2856,0.2757,0.2816,9290829.101,2614012.2941041
1610856000000,2021-01-17,0.2817,0.2829,0.2718,0.2732,12238026.408,3390576.4871431
1610870400000,2021-01-17,0.2732,0.2755,0.2686,0.2751,13425458.518,3658263.4843927
1610884800000,2021-01-17,0.2753,0.2786,0.2717,0.2766,9272952.893,2552507.8900341
1610899200000,2021-01-17,0.2767,0.2791,0.2743,0.2751,5925939.479,1641893.3062626
1610913600000,2021-01-17,0.2754,0.282,0.2752,0.2773,6658250.42,1857778.367187
1610928000000,2021-01-18,0.2776,0.2788,0.2716,0.273,8535107.881,2353664.8688744
1610942400000,2021-01-18,0.2728,0.2784,0.2721,0.2777,11343133.678,3121965.7991779
1610956800000,2021-01-18,0.2777,0.2887,0.2772,0.284,16733961.957,4746465.832383
1610971200000,2021-01-18,0.2841,0.2889,0.2816,0.2842,11202005.251,3198007.8674727
1610985600000,2021-01-18,0.2842,0.2866,0.2779,0.2818,9162207.236,2573242.934351
1611000000000,2021-01-18,0.2818,0.2863,0.2808,0.2853,6607855.032,1871745.8402023
1611014400000,2021-01-19,0.2854,0.2946,0.284,0.291,22463578.785,6497891.9506748
1611028800000,2021-01-19,0.2913,0.329,0.2883,0.3065,52751734.736,16329834.6715385
1611043200000,2021-01-19,0.3066,0.3101,0.2953,0.3021,26605195.985,8108618.2575268
1611057600000,2021-01-19,0.3021,0.3117,0.301,0.308,20594542.029,6291452.4857195
1611072000000,2021-01-19,0.308,0.3107,0.2957,0.2998,16001976.81,4839379.58558
