date,equity,drawdown
2021-01-01,1.00000000,0.00000000
2021-01-02,1.09549155,0.00000000
2021-01-03,1.12351999,0.00000000
2021-01-04,1.08906901,-0.03066344
2021-01-05,1.15544552,0.00000000
2021-01-06,1.25086814,0.00000000
2021-01-07,1.34234601,0.00000000
2021-01-08,1.38132715,0.00000000
2021-01-09,1.36441479,-0.01224356
2021-01-10,1.29876324,-0.05977144
2021-01-11,1.20506623,-0.12760259
2021-01-12,1.15972041,-0.16043031
2021-01-13,1.27164356,-0.07940450
2021-01-14,1.33249947,-0.03534838
2021-01-15,1.25074901,-0.09453093
2021-01-16,1.22528347,-0.11296649
2021-01-17,1.21963353,-0.11705672
2021-01-18,1.24629033,-0.09775876
2021-01-19,1.22152932,-0.11568427
2021-01-20,1.20724792,-0.12602317
2021-01-21,1.05041801,-0.23955885
2021-01-22,1.12178417,-0.18789393
2021-01-23,1.09174422,-0.20964110
2021-01-24,1.09815995,-0.20499648
2021-01-25,1.09806465,-0.20506547
2021-01-26,1.10557294,-0.19962991
2021-01-27,1.03346140,-0.25183444
2021-01-28,1.13339035,-0.17949173
2021-01-29,1.16562561,-0.15615529
2021-01-30,1.16615657,-0.15577091
2021-01-31,1.12668191,-0.18434825
2021-02-01,1.14083738,-0.17410052
2021-02-02,1.20725813,-0.12601578
2021-02-03,1.28036692,-0.07308930
2021-02-04,1.25720559,-0.08985674
2021-02-05,1.30369842,-0.05619866
2021-02-06,1.33390855,-0.03432829
2021-02-07,1.32077756,-0.04383436
2021-02-08,1.57800952,0.00000000
2021-02-09,1.58010953,0.00000000
2021-02-10,1.52534261,-0.03466020
2021-02-11,1.63245991,0.00000000
2021-02-12,1.60992484,-0.01380436
2021-02-13,1.60479565,-0.01694636
2021-02-14,1.65383095,0.00000000
2021-02-15,1.63072068,-0.01397378
2021-02-16,1.67275483,0.00000000
2021-02-17,1.77381036,0.00000000
2021-02-18,1.75482863,-0.01070111
2021-02-19,1.90233274,0.00000000
2021-02-20,1.90049822,-0.00096436
2021-02-21,1.95391392,0.00000000
2021-02-22,1.84106840,-0.05775358
2021-02-23,1.66388171,-0.14843653
2021-02-24,1.69106946,-0.13452202
2021-02-25,1.60305302,-0.17956825
2021-02-26,1.57571891,-0.19355766
2021-02-27,1.57030723,-0.19632732
2021-02-28,1.53610131,-0.21383368
2021-03-01,1.68791775,-0.13613505
2021-03-02,1.64895363,-0.15607662
2021-03-03,1.71381215,-0.12288247
2021-03-04,1.64649285,-0.15733604
2021-03-05,1.65923243,-0.15081601
2021-03-06,1.66361623,-0.14857240
2021-03-07,1.73512533,-0.11197453
2021-03-08,1.78270050,-0.08762588
2021-03-09,1.86799408,-0.04397320
2021-03-10,1.90143760,-0.02685702
2021-03-11,1.96679645,0.00000000
2021-03-12,1.94786577,-0.00962514
2021-03-13,2.08256564,0.00000000
2021-03-14,2.00776528,-0.03591741
2021-03-15,1.89255768,-0.09123744
2021-03-16,1.93680074,-0.06999294
2021-03-17,2.00423237,-0.03761383
2021-03-18,1.96191572,-0.05793331
2021-03-19,1.97494461,-0.05167714
2021-03-20,1.97796358,-0.05022750
2021-03-21,1.95157566,-0.06289837
2021-03-22,1.84050341,-0.11623270
2021-03-23,1.84967264,-0.11182985
2021-03-24,1.78006954,-0.14525165
2021-03-25,1.74611888,-0.16155397
2021-03-26,1.87249361,-0.10087175
2021-03-27,1.89967796,-0.08781845
2021-03-28,1.89856499,-0.08835287
2021-03-29,1.96163663,-0.05806732
2021-03-30,1.99951841,-0.03987736
2021-03-31,1.99973284,-0.03977440
2021-04-01,1.99931760,-0.03997379
2021-04-02,2.00717305,-0.03620178
2021-04-03,1.94212734,-0.06743523
2021-04-04,1.98081918,-0.04885630
2021-04-05,2.01293190,-0.03343651
2021-04-06,1.97362742,-0.05230962
2021-04-07,1.90439531,-0.08555328
2021-04-08,1.97717395,-0.05060666
2021-04-09,1.97896082,-0.04974864
2021-04-10,2.03453779,-0.02306186
2021-04-11,2.04199843,-0.01947944
2021-04-12,2.03724364,-0.02176258
2021-04-13,2.16376472,0.00000000
2021-04-14,2.14299270,-0.00959994
2021-04-15,2.14909531,-0.00677958
2021-04-16,2.08775609,-0.03512795
2021-04-17,2.04194738,-0.05629879
2021-04-18,1.91096761,-0.11683207
2021-04-19,1.89329625,-0.12499902
2021-04-20,1.92056569,-0.11239624
2021-04-21,1.83076578,-0.15389794
2021-04-22,1.75918520,-0.18697944
2021-04-23,1.73979163,-0.19594232
2021-04-24,1.70323724,-0.21283621
2021-04-25,1.67005920,-0.22816969
2021-04-26,1.83799157,-0.15055849
2021-04-27,1.87252764,-0.13459739
2021-04-28,1.86667009,-0.13730450
2021-04-29,1.82285587,-0.15755356
2021-04-30,1.96321929,-0.09268356
2021-05-01,1.96727295,-0.09081014
2021-05-02,1.92566084,-0.11004148
2021-05-03,1.94534712,-0.10094332
2021-05-04,1.81125649,-0.16291431
2021-05-05,1.95535363,-0.09631874
2021-05-06,1.91929956,-0.11298139
2021-05-07,1.95048992,-0.09856654
2021-05-08,2.00398390,-0.07384389
2021-05-09,1.98248352,-0.08378046
2021-05-10,1.89976305,-0.12201034
2021-05-11,1.92917674,-0.10841658
2021-05-12,1.68620916,-0.22070586
2021-05-13,1.69115115,-0.21842188
2021-05-14,1.69673641,-0.21584061
2021-05-15,1.59158978,-0.26443491
2021-05-16,1.57979640,-0.26988531
2021-05-17,1.48259031,-0.31480983
2021-05-18,1.45861893,-0.32588838
2021-05-19,1.24875452,-0.42287879
2021-05-20,1.37923395,-0.36257674
2021-05-21,1.26801875,-0.41397568
2021-05-22,1.27471698,-0.41088004
2021-05-23,1.18072387,-0.45431966
2021-05-24,1.32089328,-0.38953932
2021-05-25,1.30458676,-0.39707550
2021-05-26,1.33556269,-0.38275974
2021-05-27,1.31114885,-0.39404278
2021-05-28,1.21411634,-0.43888708
2021-05-29,1.17764023,-0.45574479
2021-05-30,1.21338797,-0.43922370
